Area_name,Deaths,Deaths_2020,Deaths_2021,March_2020,April_2020,May_2020,June_2020,July_2020,August_2020,September_2020,October_2020,November_2020,December_2020,January_2021,February_2021,March_2021,April _2021,LA_code,Shareddwelling,Unshareddwelling,totalDwelling,Fulltime,Parttime,Economicallyactive,EconomicallyInactive,Total Eco,young_age,Middle_Age,Old_age,total age_count,Badhealth,Goodhealth,TotalHealth,Total_population
Adur,87,43,44,0,22,15,0,0,0,3,2,0,1,29,13,2,0,E07000223,6,27647,27653,16445,7034,31054,12806,67339,6487,16917,6680,30084,2757,22373,25130,150206
Allerdale,259,101,158,1,42,15,4,4,8,0,2,12,13,72,76,9,1,E07000026,3,45430,45433,25912,11615,48904,22074,108505,9429,26990,10747,47166,4762,33297,38059,239163
Amber Valley,306,168,138,4,54,25,11,2,1,1,6,34,30,74,51,12,1,E07000032,3,54930,54933,36229,13374,63280,27278,140161,12974,35777,12430,61181,5810,42795,48605,304880
Arun,320,90,230,1,31,25,7,0,0,1,2,6,17,132,80,15,3,E07000224,75,70115,70190,37607,15734,71573,34498,159412,14070,37605,19002,70677,6608,54975,61583,361862
Ashfield,378,205,173,1,71,51,10,5,0,1,7,32,27,68,72,29,4,E07000170,10,52786,52796,34795,12976,59970,28067,135808,14144,34475,11472,60091,6764,41200,47964,296659
Ashford,347,202,145,1,48,40,41,22,4,5,2,3,36,93,38,13,1,E07000105,21,49726,49747,33223,12334,61189,23063,129809,12966,33578,10772,57316,4163,41385,45548,282420
Aylesbury Vale,356,161,195,1,82,30,6,5,3,0,1,14,19,96,78,19,2,E07000004,22,71861,71883,54696,17751,95242,31498,199187,20453,52760,14088,87301,4661,59530,64191,422562
Babergh,204,121,83,2,33,17,6,0,0,0,2,31,30,58,18,6,1,E07000200,5,39010,39015,23434,9578,44347,18728,96087,7866,24286,9936,42088,3023,31433,34456,211646
Barking and Dagenham,513,274,239,15,119,20,4,0,0,4,6,41,65,161,66,9,3,E09000002,59,71020,71079,44490,15608,86404,41164,187666,30086,50345,9221,89652,8686,62720,71406,419803
Barnet,867,516,351,46,321,55,6,2,1,2,5,27,51,246,81,20,4,E09000003,256,139090,139346,93174,30478,184483,73960,382095,61365,98228,23472,183065,12197,117508,129705,834211
Barnsley,717,503,214,1,111,80,30,6,0,2,28,135,110,98,76,32,8,E08000016,49,104926,104975,62841,24807,113306,57099,258053,27158,66833,21925,115916,15278,77649,92927,571871
Barrow-in-Furness,165,124,41,3,56,9,1,3,2,1,10,29,10,22,13,5,1,E07000027,7,33011,33018,18723,8470,33897,17206,78296,7503,19523,7192,34218,4542,22865,27407,172939
Basildon,555,299,256,1,126,48,17,12,0,0,13,29,53,162,64,26,4,E07000066,3,74029,74032,50693,17855,89570,36225,194343,22449,49696,14421,86566,7355,60991,68346,423287
Basingstoke and Deane,287,152,135,4,66,23,15,0,0,0,0,22,22,86,33,13,3,E07000084,12,70924,70936,59049,16506,94800,28443,198798,22348,51107,13375,86830,4559,58917,63476,420040
Bassetlaw,214,158,56,0,32,16,16,3,1,2,6,30,52,28,16,7,5,E07000171,9,49392,49401,31585,12752,56556,26749,127642,11359,32046,11463,54868,5912,39138,45050,276961
Bath and North East Somerset,265,118,147,8,62,12,3,2,0,0,2,4,25,58,82,7,0,E06000022,110,75821,75931,46367,18818,89752,40798,195735,19282,46581,15807,81670,5831,58849,64680,418016
Bedford,479,238,241,12,69,51,17,13,3,2,3,23,45,122,102,13,4,E06000055,88,67245,67333,45943,15841,81782,31982,175548,20292,43973,12649,76914,5596,56663,62259,382054
Bexley,579,302,277,9,149,38,11,7,4,2,7,33,42,176,80,16,5,E09000004,37,95000,95037,66838,23072,118864,47050,255824,28475,66071,18624,113170,8688,80446,89134,553165
Birmingham,2716,1645,1071,41,831,201,47,11,8,29,68,197,212,522,422,96,31,E08000025,524,423109,423633,251668,96186,488221,272031,1108106,163025,267415,69471,499911,54105,363904,418009,2449659
Blaby,208,115,93,2,28,28,11,3,0,3,2,20,18,44,35,13,1,E07000129,2,39667,39669,29207,10733,50661,17897,108498,10126,27645,9062,46833,3081,33631,36712,231712
Blackburn with Darwen,416,242,174,0,52,26,4,4,9,6,20,65,56,105,55,12,2,E06000008,30,59585,59615,35597,14535,67033,37384,154549,20753,39547,10238,70538,8428,49010,57438,342140
Blackpool,382,249,133,0,56,40,20,7,1,1,19,58,47,76,42,15,0,E06000009,132,68852,68984,34230,14836,68540,35273,152879,16120,38628,13971,68719,10346,48022,58368,348950
Bolsover,222,106,116,2,25,19,2,1,0,1,2,32,22,54,42,17,3,E07000033,1,34362,34363,21542,7986,37442,18503,85473,8673,22006,7483,38162,5152,25423,30575,188573
Bolton,680,495,185,5,194,72,15,7,4,6,43,83,66,84,70,25,6,E08000001,54,120748,120802,74631,27798,134933,65790,303152,35414,77070,23424,135908,14465,93765,108230,668092
Boston,157,120,37,0,22,8,3,0,0,0,0,22,65,23,7,5,2,E07000136,9,28336,28345,18683,7480,33031,14275,73469,8116,16799,6717,31632,3058,24225,27283,160729
Bournemouth,376,124,252,1,46,19,4,2,0,0,5,21,26,134,103,15,0,E06000028,374,85007,85381,51149,18289,96017,41557,207012,28906,46927,14457,90290,8009,63260,71269,453952
Bracknell Forest,157,80,77,3,40,13,7,0,0,1,3,7,6,46,25,5,1,E06000036,14,46923,46937,40762,11066,65137,17979,134944,15742,35173,7476,58391,2859,38814,41673,281945
Bradford,1162,854,308,1,265,140,47,11,9,20,62,167,132,132,106,41,29,E08000032,234,207034,207268,125745,52795,243727,122490,544757,75286,136649,35120,247055,23768,186031,209799,1208879
Braintree,402,134,268,1,65,33,7,4,0,0,3,11,10,156,91,19,2,E07000067,10,62694,62704,43859,15747,78715,28003,166324,17042,42618,12944,72604,5046,52492,57538,359170
Breckland,295,111,184,1,42,35,6,2,0,0,1,4,20,115,60,7,2,E07000143,5,57420,57425,36350,13772,65029,29147,144298,13621,33966,14697,62284,5623,48663,54286,318293
Brent,792,516,276,41,344,52,12,5,1,4,9,10,38,169,82,17,8,E09000005,335,111748,112083,83772,25702,163991,69735,343200,64631,84669,17756,167056,12339,108169,120508,742847
Brentwood,224,137,87,2,56,19,5,2,0,0,5,21,27,60,24,3,0,E07000068,8,32059,32067,21677,7142,38149,14810,81778,8035,21621,6842,36498,2306,24537,26843,177186
Brighton and Hove,405,193,212,2,86,43,11,4,2,0,7,13,25,114,77,21,0,E06000043,515,123902,124417,75999,27492,150853,59939,314283,44526,79050,17278,140854,11151,91970,103121,682675
Bristol,565,346,219,9,155,49,17,4,0,2,10,45,55,102,93,18,6,E06000023,458,187980,188438,127829,42980,227119,94387,492315,76513,108362,27426,212301,18056,143283,161339,1054393
Broadland,309,93,216,0,30,28,5,2,0,0,3,7,18,101,103,11,1,E07000144,6,54854,54860,34180,15110,64232,26073,139595,11352,35221,14342,60915,4499,46106,50605,305975
Bromley,673,357,316,19,215,67,9,3,0,2,5,9,28,193,110,11,2,E09000006,113,134923,135036,91506,29012,161282,61257,343057,38802,91791,25649,156242,9904,105574,115478,749813
Bromsgrove,247,156,91,4,78,37,9,0,0,0,0,6,22,50,33,5,3,E07000234,3,39371,39374,26705,10393,48664,19143,104905,8218,26942,9760,44920,3484,31306,34790,223989
Broxbourne,215,106,109,2,58,10,1,1,1,0,5,8,20,82,21,5,1,E07000095,7,39185,39192,27083,9790,49426,18173,104472,11739,27044,8030,46813,3357,33072,36429,226906
Broxtowe,261,161,100,4,51,26,5,4,0,0,5,27,39,43,43,7,7,E07000172,8,48658,48666,33191,11855,56838,24735,126619,13074,31397,10663,55134,4521,38276,42797,273216
Burnley,290,173,117,0,35,17,5,2,2,6,20,44,42,79,28,10,0,E07000117,10,39929,39939,23187,9129,41879,21497,95692,11050,23530,7525,42105,5213,29286,34499,212235
Bury,519,393,126,7,128,46,35,6,2,3,35,75,56,60,33,28,5,E08000002,9,81414,81423,53953,19118,94680,40007,207758,23004,52910,16148,92062,8539,61634,70173,451416
Calderdale,318,221,97,2,77,22,5,6,5,4,18,47,35,43,41,12,1,E08000033,40,92133,92173,57617,21923,104893,43873,228306,24430,59542,17488,101460,8929,70007,78936,500875
Cambridge,121,78,43,1,49,26,1,0,0,0,1,0,0,21,17,4,1,E07000008,92,48196,48288,37350,10001,62886,35397,145634,22519,28562,6784,57865,3533,39600,43133,294920
Camden,308,173,135,6,126,17,5,2,0,1,2,2,12,76,44,11,4,E09000007,701,99127,99828,66955,13727,118397,55436,254515,49271,58726,12809,120806,9174,67334,76508,551657
Cannock Chase,265,147,118,4,42,18,6,1,0,2,5,29,40,71,39,6,2,E07000192,4,41812,41816,28840,11009,51306,20968,112123,11856,28733,8830,49419,5121,34133,39254,242612
Canterbury,451,213,238,0,57,35,17,11,3,0,2,12,76,179,47,9,3,E07000106,59,63800,63859,34938,14268,71322,40545,161073,15331,35390,14183,64904,6133,52338,58471,348307
Carlisle,319,166,153,10,59,44,5,6,5,2,5,15,15,95,50,7,1,E07000028,53,50177,50230,31161,13295,57210,22321,123987,12732,30316,10299,53347,4964,37494,42458,270022
Castle Point,365,141,224,1,48,18,18,9,0,0,2,9,36,133,75,9,7,E07000069,2,37680,37682,23519,9525,44080,20546,97670,8335,23889,10443,42667,3873,31786,35659,213678
Central Bedfordshire,581,329,252,10,136,69,33,12,0,2,3,18,46,150,83,18,1,E06000056,15,108677,108692,81304,26069,139525,47133,294031,29628,76950,21837,128415,7672,90360,98032,629170
Charnwood,323,190,133,1,55,37,15,6,1,3,6,21,45,62,55,13,3,E07000130,25,69195,69220,47592,17209,84609,40358,189768,19101,43977,14244,77322,5465,58637,64102,400412
Chelmsford,414,177,237,4,83,43,11,3,0,2,1,10,20,137,81,16,3,E07000070,7,71240,71247,52442,18138,91339,32354,194273,20977,48474,14654,84105,4778,58430,63208,412833
Cheltenham,216,168,48,0,96,27,4,0,2,1,1,6,31,35,11,2,0,E07000078,71,53051,53122,36092,11506,62763,23327,133688,17513,30831,9316,57660,3637,39722,43359,287829
Cherwell,231,129,102,2,78,30,2,1,0,0,1,2,13,60,33,7,2,E07000177,28,58990,59018,46827,15063,78160,25109,165159,18690,41208,11458,71356,4261,49163,53424,348957
Cheshire East,909,632,277,8,240,158,74,19,3,0,14,43,73,141,111,22,3,E06000049,34,166202,166236,106863,38940,191253,79700,416756,38295,108118,37678,184091,14247,123065,137312,904395
Cheshire West and Chester,863,543,320,7,190,108,53,14,1,3,13,69,85,160,131,19,10,E06000050,53,147515,147568,95642,36206,170778,72377,375003,36780,94292,32553,163625,14259,108967,123226,809422
Chesterfield,207,107,100,1,40,32,5,0,1,1,1,13,13,34,54,12,0,E07000034,10,48483,48493,28593,12272,51909,24500,117274,11951,29809,10010,51770,6204,35622,41826,259363
Chichester,288,98,190,1,45,27,3,0,0,0,1,6,15,99,81,9,1,E07000225,11,53802,53813,27847,11384,56102,24935,120268,10058,29538,13651,53247,3822,39771,43593,270921
Chiltern,183,102,81,7,62,14,1,3,1,0,0,3,11,48,23,8,2,E07000005,12,38275,38287,24978,8854,46743,18300,98875,8067,27486,9282,44835,2334,30368,32702,214699
Chorley,226,180,46,1,59,29,15,0,0,0,10,28,38,24,15,6,1,E07000118,11,46754,46765,33167,11542,56645,23306,124660,11846,30986,10210,53042,4623,35705,40328,264795
Christchurch,99,41,58,0,11,7,3,0,0,0,3,7,10,25,22,8,3,E07000048,3,23129,23132,10786,5102,21420,11225,48533,3890,11650,6520,22060,2208,17116,19324,113049
City of London,11,5,6,1,2,1,0,0,0,0,0,0,1,3,3,0,0,E09000001,10,5503,5513,3245,360,4972,1335,9912,1734,2268,587,4589,190,2374,2564,22578
Colchester,351,153,198,1,64,32,7,2,0,0,2,35,10,103,75,17,3,E07000071,45,74493,74538,50589,18471,91385,37177,197622,22176,46426,14333,82935,5692,60279,65971,421066
Copeland,170,86,84,2,36,10,9,0,3,2,4,12,8,26,50,7,1,E07000029,8,32420,32428,20525,7984,35335,17367,81211,7420,20250,7374,35044,3760,23938,27698,176381
Corby,124,77,47,0,24,15,7,1,0,0,1,12,17,27,14,5,1,E07000150,0,26181,26181,20899,6145,33166,11883,72093,8988,17561,4705,31254,2697,21539,24236,153764
Cornwall,504,228,276,5,129,51,5,2,2,0,1,14,19,117,127,29,3,E06000052,136,258747,258883,123195,59778,259484,129374,571831,52271,141201,61318,254790,25907,178805,204712,1290216
