Area_name,Deaths,Deaths_2020,Deaths_2021,March_2020,April_2020,May_2020,June_2020,July_2020,August_2020,September_2020,October_2020,November_2020,December_2020,January_2021,February_2021,March_2021,April _2021,LA_code,Shareddwelling,Unshareddwelling,totalDwelling,Fulltime,Parttime,Economicallyactive,EconomicallyInactive,Total Eco,young_age,Middle_Age,Old_age,total age_count,Badhealth,Goodhealth,TotalHealth,Total_population
Wakefield,802,597,205,4,197,83,36,8,2,6,22,116,123,90,75,35,5,E08000036,50,146312,146362,95559,35763,164768,76229,372319,39026,93641,30080,162747,19507,110920,130427,811855
Walsall,880,528,352,20,230,84,24,2,4,0,14,86,64,148,165,31,8,E08000030,42,110901,110943,67743,26934,126805,65169,286651,33807,71816,24524,130147,14968,94650,109618,637359
Waltham Forest,543,320,223,11,180,35,9,2,0,3,4,16,60,163,49,9,2,E09000031,185,98094,98279,69385,21889,135015,55963,282252,50512,72758,13268,136538,10053,91954,102007,619076
Wandsworth,447,239,208,29,135,28,1,3,1,0,7,10,25,127,68,10,3,E09000032,417,134202,134619,123965,18968,189789,53744,386466,88229,83120,14196,185545,8749,91935,100684,807314
Warrington,514,346,168,0,135,62,12,1,2,4,37,54,39,93,49,19,7,E06000007,8,87935,87943,63875,21782,107765,41696,235118,24189,59748,18026,101963,8466,66223,74689,499713
Warwick,242,136,106,1,60,25,10,3,0,0,0,7,30,60,35,7,4,E07000222,47,60380,60427,43062,13456,73309,29574,159401,18268,38147,11809,68224,4275,46720,50995,339047
Watford,237,144,93,0,87,14,7,5,0,2,8,8,13,58,28,5,2,E07000103,51,37353,37404,30477,8438,50770,15515,105200,16153,26017,5686,47856,2931,31453,34384,224844
Waveney,249,141,108,0,67,42,8,0,0,0,3,14,7,49,46,10,3,E07000206,33,54525,54558,26780,13463,53460,28417,122120,10987,29042,13922,53951,5829,41820,47649,278278
Waverley,300,159,141,3,70,47,7,3,0,0,0,9,20,80,53,8,0,E07000216,13,51532,51545,33014,11669,61649,23968,130300,11429,35167,11815,58411,3078,39777,42855,283111
Wealden,374,154,220,2,59,32,9,6,4,0,4,6,32,146,58,13,3,E07000065,14,65145,65159,36449,15676,74214,31665,158004,12068,40885,17427,70380,5198,52009,57207,350750
Wellingborough,151,88,63,1,30,23,5,3,1,1,1,9,14,30,26,5,2,E07000156,4,33073,33077,23367,7449,39247,15570,85633,9203,21316,6756,37275,2973,27907,30880,186865
Welwyn Hatfield,246,116,130,6,54,33,10,2,0,0,0,4,7,82,41,6,1,E07000241,6,45525,45531,31315,9939,57036,24478,122768,14660,28837,8040,51537,3431,37488,40919,260755
West Berkshire,223,148,75,5,90,26,1,1,1,0,4,4,16,39,24,11,1,E06000037,17,64586,64603,51084,15567,85401,26653,178705,17631,46908,12871,77410,3818,53069,56887,377605
West Devon,30,21,9,0,7,4,0,1,1,1,0,2,5,6,2,0,1,E07000047,8,24669,24677,12110,5918,26543,12398,56969,4362,14277,6597,25236,2120,18599,20719,127601
West Dorset,138,57,81,2,36,10,0,0,0,0,0,7,2,43,30,8,0,E07000052,10,49309,49319,23139,10923,47566,22793,104421,7347,25398,13023,45768,3878,35640,39518,239026
West Lancashire,261,200,61,3,74,30,6,3,1,5,19,36,23,23,29,9,0,E07000127,10,47963,47973,29658,11504,55680,25921,122763,10473,30913,11679,53065,5380,36226,41606,265407
West Lindsey,161,83,78,0,12,8,1,0,0,0,4,17,41,49,17,11,1,E07000142,2,40196,40198,24183,9855,44768,20763,99569,7902,25123,10257,43282,3790,32075,35865,218914
West Oxfordshire,179,123,56,1,72,31,5,1,0,0,1,3,9,30,23,2,1,E07000181,4,45576,45580,34599,10889,58506,17657,121651,11761,30492,10032,52285,2942,35438,38380,257896
West Somerset,32,17,15,1,5,4,1,0,1,0,0,1,4,6,9,0,0,E07000191,6,17565,17571,7290,3626,16118,8800,35834,2498,7901,5103,15502,1756,12620,14376,83283
Westminster,358,204,154,20,137,14,3,0,0,0,7,5,18,91,49,13,1,E09000033,522,117796,118318,72899,12606,120418,55087,261010,53090,62011,13070,128171,9263,65807,75070,582569
Weymouth and Portland,68,34,34,2,26,1,1,0,0,0,0,2,2,18,13,3,0,E07000053,17,30980,30997,16457,8174,32103,15768,72502,6513,17286,7107,30906,2952,23933,26885,161290
Wigan,907,695,212,3,192,104,24,9,1,0,79,181,102,122,59,24,7,E08000010,27,141492,141519,94703,32880,162781,73714,364078,39168,92512,30112,161792,18112,103934,122046,789435
Wiltshire,773,446,327,11,185,118,28,2,1,3,5,42,51,167,130,29,1,E06000054,55,201936,201991,143218,50806,250792,88803,533619,48128,134878,44729,227735,14974,160362,175336,1138681
Winchester,190,125,65,3,52,43,3,1,0,0,4,11,8,35,27,3,0,E07000094,16,49124,49140,32339,11434,60029,24466,128268,11464,32253,11041,54758,3135,38219,41354,273520
Windsor and Maidenhead,313,162,151,8,86,24,2,2,0,2,4,11,23,88,46,14,3,E06000040,15,60886,60901,46337,12727,77650,26597,163311,18173,42632,12303,73108,3872,46571,50443,347763
Wirral,896,562,334,12,261,90,34,11,4,7,48,62,33,177,132,23,2,E08000015,82,145611,145693,83696,34513,153240,77611,349060,34925,88270,31004,154199,18448,102085,120533,769485
Woking,186,98,88,0,36,24,8,2,0,1,2,8,17,42,36,8,2,E07000217,7,40645,40652,32336,8977,54052,17670,113035,14557,29609,7306,51472,2602,34291,36893,242052
Wokingham,267,183,84,4,85,33,7,0,2,1,8,14,29,49,31,4,0,E06000041,9,62465,62474,51260,15282,84912,27361,178815,17683,47722,12981,78386,3310,51808,55118,374793
Wolverhampton,735,394,341,35,176,48,16,4,1,2,22,38,52,177,130,32,2,E08000031,86,105739,105825,63981,24364,120402,59581,268328,34170,66983,20381,121534,13796,88168,101964,597651
Worcester,175,75,100,0,38,13,4,1,0,0,2,9,8,70,23,7,0,E07000237,36,43236,43272,30777,11000,53966,19416,115159,13924,27614,7669,49207,3780,34497,38277,245915
